species,lon,lat
1,149.15,-37.63
1,152.00527,-29.033
1,151.10555,-33.76444
1,145.05,-37.22
1,141.55,-38.42
1,143.02,-36.4
1,149.38,-37.48
1,142.48,-36.25
1,132.72,-23.63
1,140.23,-37.5
1,146.15,-43.88
1,142.72,-37.02
1,141.33,-38.23
1,143.43,-36.78
1,146.71305,-35.2236
1,139.35888,-35.52249
1,151.58,-28.1
1,148.415,-32.83916
1,148.99805,-32.11638
1,146.22,-36.4
1,133.9,-32.15
1,135.92,-32.27
1,135.73,-34.18
1,136.72,-33.88
1,134.22,-32.5
1,116.05,-32.98
1,135.55,-33.17
1,115.97,-32.73
1,120.02,-33.52
1,115.07,-34.67
1,151.283,-33.866
1,121.78,-32.48
1,139.33,-30.32
1,134.013,-23.7481
1,143.87,-36.58
1,141.855,-36.7757
1,121.65,-32.98
1,133.87,-23.73
1,142.027,-36.5732
1,131.88,-23.45
1,138.03,-33.02
1,142.92,-35.67
1,131.72,-23.85
1,132.7,-23.67
1,132.47,-23.88
1,132.75,-23.97
1,132.52,-24.3
1,142.65,-36.25
1,134.85,-25.85
1,133.08,-23.78
1,138.7,-31.43
1,132.22,-25.12
1,135.261,-27.0864
1,139.67,-30.73
1,142.82,-36.2
1,132.853,-24.0586
1,142.22,-34.62
1,147.95833,-33.14666
1,145.44777,-31.57193
1,148.73421,-32.47014
1,133.87,-23.38
1,133.72,-23.68
1,136.69471,-33.0886
1,147.55,-37.05
1,148.07,-42.27
1,149.25559,-32.36692
1,149.07,-37.57
1,149.10989,-31.82926
1,147.13,-36.98
1,148.75737,-31.76352
1,147.62,-37.7
1,148.9752,-32.50627
1,150.76166,-33.8336
