Species,Longitude,Latitude
1,153.438889,-27.574167
1,151.28971,-32.2736
1,151.05944,-33.73555
1,146.71305,-35.2236
1,150.30111,-33.5486
1,138.72251,-34.87566
1,149.116669,-31.816668
1,150.416,-33.55
1,152.416,-28.4
1,138.07628,-32.73787
1,150.033333,-25.45
1,150.2261,-33.4736
1,152.033,-28.65
1,151.13013,-34.00078
1,152.949997,-27.483334
1,151.616669,-25.616667
1,148.622222,-25.241111
1,150.51804,-33.49888
1,138.62398,-34.98198
1,153.01,-27.46
1,150.57082,-33.47388
1,152.07,-27.25
1,151.466,-30.416
1,151.13027,-33.00083
1,153.3167,-27.5833
1,151.08777,-33.74944
1,152.50538,-28.28018
1,151.23694,-30.77999
1,152.666,-30.283
1,152.68471,-31.86527
1,148.19971,-24.21583
1,145.48304,-17.60611
1,153.050003,-26.033333
1,150.600006,-24.533333
1,149.768616,-25.607222
1,148.183304,-26.533331
1,150.68471,-33.64194
1,151.097229,-27.375834
1,150.6,-35.15
1,138.73,-35.05
1,150.75361,-33.67582
1,147.42,-35.77
1,151.27106,-32.24221
1,153.033,-28.816
1,150.633,-35.133
1,151.816696,-26.4
1,151.16,-33.78082
1,151.617004,-28.183001
1,151.899994,-28.700001
1,149.966705,-29.6
1,151.833328,-26.533333
1,149.97138,-30.05194
1,148.983,-33.333
1,150.68591,-33.26986
1,151.12888,-33.75666
1,151.2846,-33.71527
1,149.28334,-20.783333
1,148.989722,-25.202778
1,150.983,-33.833
1,150.733337,-23.133333
1,152.883331,-27.4
1,139.1927325,-35.63445
1,151.840116,-28.802402
1,152.8439027,-27.4436982
1,152.8422404,-26.6295566
1,152.8326562,-26.7627107
1,146.8762007,-36.0652042
1,153.059254,-27.578481
1,149.090392,-35.397576
