Species,Longitude,Latitude
1,150.79721,-32.52193
1,145.13,-37.92
1,132.25,-26.3
1,149.983,-30.216
1,149.93988,-37.33981
1,116.01111,-32.36793
1,149.10989,-31.82926
1,149.05986,-32.69751
1,149.28162,-32.37591
1,149.11352,-32.72094
1,147.73999,-35.27638
1,140.35,-37.6
1,143.93333,-40.06665
1,144.95,-37.78
1,147.95,-37.78
1,149.65,-33.416
1,140.68,-36.77
1,139.85,-37.28
1,140.25,-37.57
1,121.69916,-33.36111
1,121.59777,-31.5186
1,142.65111,-31.77471
1,148.42443,-33.56166
1,151.07166,-33.55888
1,121.68166,-33.07666
1,149.916,-37.366
1,151.05833,-33.75
1,141.4,-38.02
1,133.15,-32.13
1,142.82,-36.2
1,149.05,-35.19
1,149.12749,-33.78916
1,142.36444,-32.415
1,149.1000061,-35.26667023
1,149.1013,-31.89256
1,132.13999,-31.7085
1,148.73,-34.58
1,136.59888,-33.12138
1,148.74,-34.49
1,148.76,-34.31
1,138.57,-31.8
1,148.68,-34.51
1,121.78,-31.87
1,115.35,-34.2
1,128.88,-31.72
1,115.92,-31.02
1,139.40666,-34.75638
1,152.07,-27.47
1,116.05,-32.98
1,117.35,-34.83
1,145.57,-36.75
1,115.92,-30.73
1,115.50388,-33.54971
1,118.15,-34.85
1,116.2607462,-31.6330139
1,116.0133287,-32.1321213
1,118.0809487,-34.380934
1,116.0616092,-32.0852207
