Species,Longitude,Latitude
1,138.53699,-23.3618
1,138.49783,-23.75922
1,133.4666667,-23.88333333
1,133.8833333,-21.53333333
1,149.53694,-22.11971
1,150.5,-34.35
1,149.48381,-32.03645
1,149.95019,-32.36225
1,150.58489,-32.40028
1,149.10989,-31.82926
1,153.57,-28.35
1,151.79883,-32.521
1,148.71467,-32.5379
1,148.70587,-32.43605
1,148.73421,-32.47014
1,149.90956,-32.32139
1,136.69471,-33.0886
1,149.28162,-32.37591
1,148.97898,-32.75885
1,136.81555,-33.02138
1,137.03,-29.48
1,151.06122,-32.86068
1,150.11761,-32.09596
1,150.38022,-32.41033
1,133.87,-23.3
1,151.08895,-32.86992
1,153.35111,-29.40666
1,148.415,-32.83916
1,149.92497,-37.30678
1,151.56541,-26.85375
1,150.32221,-28.04333
1,148.18,-26.53
1,153.10722,-27.66583
1,135.85769,-19.66932
1,128.87,-16.82
1,138.98,-30.55
1,150.85638,-31.76971
1,133.07,-23.78
1,132.47,-23.88
1,132.33,-23.58
1,141.13638,-32.67999
1,138.03,-32.35
1,146.04214,-34.41141
1,132.7,-23.67
1,132.52,-24.3
1,132.97,-23.75
1,138.33,-30.55
1,138.03,-32.5
1,148.73,-34.58
1,135.25,-27.08
1,133.87,-23.73
1,133.15,-23.8
1,141.697,-36.2799
1,137.77,-32.5
1,138.75,-31.38
1,133.17,-25.97
1,139.33,-30.32
1,132.57,-23.87
1,146.91313,-34.35597
1,146.15468,-34.65676
1,131.681,-24.3522
1,133.85,-23.53
1,131.02,-25.35
1,143.66777,-31.70222
1,132.83,-24.08
1,139.12,-31.32
1,133.28,-25.82
1,134.63,-25.63
1,115.07499,-33.95491
1,152.42384,-31.44199
1,152.73743,-31.56707
1,152.46954,-31.60644
1,150.83883,-32.84147
1,151.34096,-32.69819
1,151.10316,-31.68616
1,132.3333333,-24.61666667
1,151.37275,-33.34078
1,151.36132,-32.6306
1,152.76324,-31.46219
1,133.4,-16.40305
1,150.96134,-32.37991
1,138.35,-32.65
1,133.97,-32.15
1,149.11,-35.27
1,135.73,-34.18
1,150.76832,-31.69166
1,150.76927,-32.42991
1,148.69566,-32.29043
1,149.78938,-32.03808
1,150.52485,-30.95567
1,150.01378,-30.34473
1,151.05221,-32.58439
1,150.17282,-30.98257
1,149.97352,-30.05316
1,148.99483,-33.14602
1,150.92311,-31.13837
1,149.46886,-31.19494
1,150.05543,-30.40055
1,149.90679,-32.05917
1,148.16521,-23.531784
1,152.8326562,-26.7627107
1,153.059254,-27.578481
1,152.8422404,-26.6295566
1,144.9514677,-37.7910555
1,149.120178,0.0
1,151.840116,-28.802402
1,133.7138936,-23.6770171
1,144.9954119,-37.2055377
1,152.8069042,-27.3759987
1,151.896027,-28.694539
1,116.0133287,-32.1321213
1,150.5567385,-33.6992711
1,152.898565,-30.458751
1,130.9318937,-25.2333535
1,152.759736,-27.624614
1,130.882959,-12.347548
1,145.114192,-37.7551105
