Species,Longitude,Latitude
1,145.1201252,-37.7010238
1,145.0898296,-37.8101008
1,145.211482,-37.73166128
1,142.8546633,-37.1516626
1,144.918183,-37.726404
1,145.6974022,-37.7517475
1,145.2913436,-37.85017712
1,146.5283081,-38.20951028
1,150.228133,-33.37878781
1,145.01484,-37.96875
1,151.6725623,-30.23853696
1,153.0603647,-27.5750006
1,146.9946315,-37.9727939
1,144.3773473,-38.14932294
1,145.2703336,-38.12750342
1,144.9578311,-37.7921272
1,146.0858659,-37.04754112
1,151.3756311,-33.60012323
1,151.2896263,-33.73638656
1,151.204412,-33.73573749
1,146.9270009,-36.08770877
1,152.8392636,-26.7546921
1,144.9773012,-37.74886205
1,149.107803,-35.274089
1,151.119325,-33.745695
1,144.3068591,-38.17622803
1,145.4833667,-38.19665833
1,153.438889,-27.574167
1,151.28971,-32.2736
1,151.05944,-33.73555
1,146.71305,-35.2236
1,150.30111,-33.5486
1,138.72251,-34.87566
1,149.116669,-31.816668
1,150.416,-33.55
1,152.416,-28.4
1,138.07628,-32.73787
1,150.033333,-25.45
1,150.2261,-33.4736
1,152.033,-28.65
1,151.13013,-34.00078
1,152.949997,-27.483334
1,151.616669,-25.616667
1,148.622222,-25.241111
1,150.51804,-33.49888
1,138.62398,-34.98198
1,153.01,-27.46
1,150.57082,-33.47388
1,152.07,-27.25
1,151.466,-30.416
1,151.13027,-33.00083
1,153.3167,-27.5833
1,152.50538,-28.28018
1,151.23694,-30.77999
1,152.666,-30.283
1,152.68471,-31.86527
1,148.19971,-24.21583
1,145.48304,-17.60611
1,153.050003,-26.033333
1,150.600006,-24.533333
1,149.768616,-25.607222
1,148.183304,-26.533331
1,150.68471,-33.64194
1,151.097229,-27.375834
1,150.6,-35.15
1,138.73,-35.05
1,150.75361,-33.67582
1,147.42,-35.77
1,151.27106,-32.24221
1,153.033,-28.816
1,150.633,-35.133
1,151.816696,-26.4
1,151.16,-33.78082
1,151.617004,-28.183001
1,151.899994,-28.700001
1,149.966705,-29.6
1,151.833328,-26.533333
1,149.97138,-30.05194
1,148.983,-33.333
1,150.68591,-33.26986
1,149.28334,-20.783333
1,148.989722,-25.202778
1,150.983,-33.833
1,150.733337,-23.133333
1,152.883331,-27.4
