Species,Longitude,Latitude
1,153.18333,-27.51667
1,153.2435463,-27.5113215
1,150.5325,-33.09388889
1,151.2452952,-33.51806322
1,150.9234058,-33.56289145
1,152.9455883,-27.19516833
1,152.919183,-27.37428168
1,152.83017,-26.41097833
1,152.8336491,-31.63115731
1,153.0285838,-25.39043283
1,148.1667066,-23.53286803
1,153.060365,-27.575001
1,152.8990499,-26.70827446
1,153.2036919,-27.61079545
1,153.217639,-27.546319
1,152.8026338,-26.75777865
1,151.089595,-34.027065
1,151.208584,-33.72386562
1,152.4500072,-32.23401213
1,151.7585129,-32.69937837
1,153.0748476,-25.46280745
1,153.2024383,-25.33865333
1,151.1918912,-33.83654015
1,153.1591015,-27.80610375
1,153.1605213,-26.2638002
1,150.6251,-33.6693
1,151.3453692,-33.52907324
1,148.0511199,-24.91155227
1,151.0720727,-33.81951102
1,153.1389685,-27.5376081
1,153.0321369,-27.53914784
1,151.218908,-33.649589
1,152.9226329,-26.57037857
1,151.2457417,-33.76903833
1,145.650289,-17.773495
1,153.0402633,-26.04905
1,145.5822466,-17.2726975
1,146.989324,-19.4622994
1,151.9406769,-28.82987592
1,148.6316783,-21.13934583
1,152.8150961,-26.7143025
1,152.3450077,-27.97960022
1,151.2686917,-33.59932167
1,151.2938838,-33.81800235
1,152.9451792,-26.47259614
1,151.2879542,-33.55079163
1,150.162262,-30.24974381
1,153.073184,-27.62922209
1,149.233,-31.266
1,150.66804,-22.865
1,153.083,-25.883
1,150.983,-34.216
1,152.8833,-26.95
1,145.582522,-19.964976
1,146.1075,-17.8686
1,142.467,-10.8
1,152.616669,-25.200001
1,145.033,-15.283
1,146.01804,-17.36305
1,143.4,-12.683
1,151.9,-24.216
1,143.266663,-12.733334
1,151.20111,-33.61527
1,153.22388,-28.1411
1,153.166672,-27.049999
1,153.316,-29.316
1,153.449997,-27.5
1,153.083328,-26.566668
1,147.93806,-24.97282
1,147.76764,-24.83436
1,153.133331,-26.799999
1,145.633,-16.816
1,151.01804,-34.09805
1,147.84,-24.774
1,149.783,-30.333
1,153.5,-28.95
1,152.466705,-26.666666
1,142.566666,-11.75
1,142.850006,-11.63333
1,142.46666,-11.716666
1,152.51693,-25.08304
1,152.13499,-30.81824
1,145.25,-15.8
1,150.133,-30.283
1,152.8167,-29.65
1,149.05,-23.83304
1,143.183334,-13.966666
1,143.33272,-12.69637
1,149.28334,-20.783333
1,151.899994,-28.700001
1,151.10555,-33.76444
1,144.766,-14.55
1,145.25,-15.466
