Species,Longitude,Latitude
1,146.9269182,-36.0878901
1,145.1201252,-37.7010238
1,145.1742931,-37.742549
1,145.2104103,-37.73374923
1,134.755072,-29.00509003
1,132.3043183,-24.99050503
1,139.484171,-34.593056
1,152.3326275,-27.56919901
1,141.5850781,-34.26193306
1,148.1580273,-23.52842009
1,149.1590756,-21.15742303
1,153.060365,-27.575001
1,146.295855,-18.98422042
1,153.2168826,-27.50049529
1,146.44889,-19.38111
1,140.9869632,-23.68986116
1,153.1693723,-27.4272403
1,145.0586489,-37.78265596
1,145.1330771,-37.87927365
1,151.7648808,-32.3495423
1,151.7141668,-32.923526
1,146.8630528,-36.13912834
1,141.787598,-34.829498
1,145.060176,-37.69271011
1,149.8202381,-36.9874345
1,128.7514125,-15.76282222
1,116.0095139,-31.95378667
1,138.7064477,-34.81594845
1,138.6123946,-34.80505633
1,115.860333,-32.091811
1,153.3941951,-27.90165546
1,150.8740424,-34.41664897
1,138.6239716,-34.90889477
1,151.0987055,-33.7046328
1,145.1070862,-37.83811167
1,153.5507057,-28.49315583
1,145.1635819,-37.63622092
1,116.1027536,-33.34694625
1,151.10555,-33.76444
1,139.47388,-24.39305
1,138.48318,-23.758
1,146.80068,-19.28278
1,148.9752,-32.50627
1,148.97898,-32.75885
1,149.11352,-32.72094
1,148.62263,-32.40254
1,148.87476,-32.60773
1,125.35138,-32.28721
1,121.59777,-31.5186
1,142.39052,-31.79257
1,142.65111,-31.77471
1,151.0886,-33.49555
1,121.64027,-31.655
1,140.22943,-19.92304
1,148.72613,-32.13616
1,148.415,-32.83916
1,151.06916,-33.55222
1,139.35888,-35.52249
1,147.84404,-34.49911
1,147.25649,-35.39055
1,152.8025,-26.0236
1,144.51111,-31.51749
1,121.7575,-32.34027
1,141.79777,-33.6711
1,138.26333,-23.36138
1,149.09166,-33.84055
1,149.14417,-31.44822
