Species,Longitude,Latitude
1,-27.492184,152.990964
1,-23.526608,148.158098
1,-26.62271575,152.8643274
1,-28.84136585,153.4436734
1,-37.81563356,144.6660381
1,-35.02022547,138.5620235
1,-37.9340608,144.785508
1,-36.08789,146.926918
1,-17.609167,145.483611
1,-37.700981,145.120085
1,-37.73380378,145.2108583
1,-26.0294596,145.0713904
1,-37.701311,145.1201065
1,-23.72524747,133.7353814
1,-34.593056,139.484171
1,-15.68879323,128.6903849
1,-38.363,145.202
1,-24.916667,152.483333
1,-26.56131204,153.0884496
1,-23.52627016,148.1577993
1,-23.52645964,148.1581662
1,-23.50567458,148.1678951
1,-23.52626509,148.1578583
1,-23.52808738,148.1581885
1,-23.52806279,148.1582046
1,-23.52660201,148.1580219
1,-23.52807263,148.1582043
1,-23.52808493,148.1581962
1,-23.52626017,148.157802
1,-23.5264585,148.1581748
1,-23.52654457,148.1580541
1,-23.52640281,148.1581346
1,-23.52642494,148.1581399
1,-23.52623066,148.1577912
1,-23.52620115,148.1577269
1,-23.53573534,148.1660367
1,-23.52657741,148.1581104
1,-23.52657249,148.1579518
1,-27.5750006,153.0603647
1,-27.575001,153.060365
1,-23.392031,150.502029
1,-28.8408655,153.4495841
1,-18.98649294,146.3041592
1,-26.9861003,153.1325243
1,-26.73915861,152.8245654
1,-26.60455391,152.9581475
1,-26.71197169,152.8600359
1,-27.5003356,153.2168634
1,-27.5003139,153.2168606
1,-27.500301,153.216882
1,-37.972845,146.9950854
1,-37.7921272,144.9578311
1,-30.59268669,151.6847051
1,-37.66034343,144.8215437
1,-27.34905267,152.9746596
1,-25.59997804,153.0911216
1,-27.605579,153.0942431
1,-37.9719696,146.9955151
1,-26.75503553,152.8395189
1,-37.8103516,145.0913879
1,-37.32169732,144.2698494
1,-34.60345494,138.5982555
1,-37.7556491,145.1139021
1,-34.80420708,138.6199412
1,-23.44161333,151.9161383
1,-26.75504025,152.8395101
1,-34.8538547,138.6056264
1,-34.86428174,138.6161916
1,138.53699,-23.3618
1,138.49783,-23.75922
1,133.4666667,-23.88333333
1,133.8833333,-21.53333333
1,149.53694,-22.11971
1,150.5,-34.35
1,149.48381,-32.03645
1,149.95019,-32.36225
1,150.58489,-32.40028
1,149.10989,-31.82926
1,153.57,-28.35
1,151.79883,-32.521
1,148.71467,-32.5379
1,148.70587,-32.43605
1,148.73421,-32.47014
1,149.90956,-32.32139
1,136.69471,-33.0886
1,149.28162,-32.37591
1,148.97898,-32.75885
1,136.81555,-33.02138
1,137.03,-29.48
1,151.06122,-32.86068
1,150.11761,-32.09596
1,150.38022,-32.41033
1,133.87,-23.3
1,151.08895,-32.86992
1,153.35111,-29.40666
1,148.415,-32.83916
1,149.92497,-37.30678
1,151.56541,-26.85375
1,150.32221,-28.04333
1,148.18,-26.53
1,153.10722,-27.66583
1,135.85769,-19.66932
1,128.87,-16.82
1,138.98,-30.55
1,150.85638,-31.76971
1,133.07,-23.78
1,132.47,-23.88
1,132.33,-23.58
1,141.13638,-32.67999
1,138.03,-32.35
1,146.04214,-34.41141
1,132.7,-23.67
1,132.52,-24.3
1,132.97,-23.75
1,138.33,-30.55
1,138.03,-32.5
1,148.73,-34.58
1,135.25,-27.08
1,133.87,-23.73
1,133.15,-23.8
1,141.697,-36.2799
1,137.77,-32.5
1,138.75,-31.38
1,133.17,-25.97
1,139.33,-30.32
1,132.57,-23.87
1,146.91313,-34.35597
1,146.15468,-34.65676
1,131.681,-24.3522
1,133.85,-23.53
1,131.02,-25.35
1,143.66777,-31.70222
1,132.83,-24.08
1,139.12,-31.32
1,133.28,-25.82
1,134.63,-25.63
1,115.07499,-33.95491
1,152.42384,-31.44199
1,152.73743,-31.56707
1,152.46954,-31.60644
1,150.83883,-32.84147
1,151.34096,-32.69819
1,151.10316,-31.68616
1,132.3333333,-24.61666667
1,151.37275,-33.34078
1,151.36132,-32.6306
1,152.76324,-31.46219
1,133.4,-16.40305
1,150.96134,-32.37991
1,138.35,-32.65
1,133.97,-32.15
1,149.11,-35.27
1,135.73,-34.18
1,150.76832,-31.69166
1,150.76927,-32.42991
1,148.69566,-32.29043
1,149.78938,-32.03808
1,150.52485,-30.95567
1,150.01378,-30.34473
1,151.05221,-32.58439
1,150.17282,-30.98257
1,149.97352,-30.05316
1,148.99483,-33.14602
1,150.92311,-31.13837
1,149.46886,-31.19494
1,150.05543,-30.40055
1,149.90679,-32.05917
